municipality,municipality_code,county,county_name,county_code,land,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code
Upplands Väsby,114,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Vallentuna,115,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Österåker,117,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Värmdö,120,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Järfälla,123,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Ekerö,125,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Huddinge,126,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Botkyrka,127,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Salem,128,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Haninge,136,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Tyresö,138,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Upplands-Bro,139,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Nykvarn,140,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Täby,160,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Danderyd,162,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Sollentuna,163,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Stockholm,180,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Södertälje,181,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Nacka,182,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Sundbyberg,183,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Solna,184,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Lidingö,186,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Vaxholm,187,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Norrtälje,188,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Sigtuna,191,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Nynäshamn,192,Stockholm,Stockholms län,1,Svealand,SE1,Östra Sverige,SE11,Stockholm,SE110
Håbo,305,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Älvkarleby,319,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Knivsta,330,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Heby,331,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Tierp,360,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Uppsala,380,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Enköping,381,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Östhammar,382,Uppsala,Uppsala län,3,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE121
Vingåker,428,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Gnesta,461,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Nyköping,480,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Oxelösund,481,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Flen,482,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Katrineholm,483,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Eskilstuna,484,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Strängnäs,486,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Trosa,488,Södermanland,Södermanlands län,4,Svealand,SE1,Östra Sverige,SE12,Östra Mellansverige,SE122
Ödeshög,509,Östergötland,Östergötlands län,5,Götaland,SE1,Östra Sverige,SE12,Östra Mellansverige,SE123
Ydre,512,Östergötland,Östergötlands län,5,Götaland,SE1,Östra Sverige,SE12,Östra Mellansverige,SE123
Kinda,513,Östergötland,Östergötlands län,5,Götaland,SE1,Östra Sverige,SE12,Östra Mellansverige,SE123
Boxholm,560,Östergötland,Östergötlands län,5,Götaland,SE1,Östra Sverige,SE12,Östra Mellansverige,SE123
Åtvidaberg,561,Östergötland,Östergötlands län,5,Götaland,SE1,Östra Sverige,SE12,Östra Mellansverige,SE123
